snaqV,ntaxa,nhybrids,runtime,threads
v1.1,14,0,3.71403044,3
v1.1,15,0,2.867640519,3
v1.1,16,0,15.229835293,3
v1.1,17,0,20.895388353,3
v1.1,18,0,19.032679321,3
v1.1,19,0,95.059736715,3
v1.1,20,0,3.100596006,3
v1.1,21,0,43.357609633,3
v1.1,22,0,75.594369943,3
v1.1,23,0,102.094433605,3
v1.1,24,0,6.295528016,3
v1.1,25,0,154.38988116,3
v1.1,4,0,0.00086439,3
v1.1,5,0,0.002004324,3
v1.1,6,0,0.056518581,3
v1.1,7,0,0.021204158,3
v1.1,8,0,0.112179057,3
v1.1,9,0,0.242438195,3
v1.1,10,0,0.239944214,3
v1.1,11,0,1.441708846,3
v1.1,12,0,1.24546011,3
v1.1,13,0,2.62426136,3
v1.1,14,0,7.177053459,3
v1.1,15,0,4.301313792,3
v1.1,16,0,7.209280267,3
v1.1,17,0,34.523195912,3
v1.1,18,0,13.124562651,3
v1.1,19,0,35.682190963,3
v1.1,20,0,3.152174892,3
v1.1,21,0,56.50300297,3
v1.1,22,0,54.836256393,3
v1.1,23,0,201.658966541,3
v1.1,24,0,183.485597521,3
v1.1,25,0,152.504305965,3
v1.1,4,0,0.000890465,3
v1.1,5,0,0.001804072,3
v1.1,6,0,0.004670516,3
v1.1,7,0,0.021478044,3
v1.1,8,0,0.123156553,3
v1.1,9,0,0.232698346,3
v1.1,10,0,0.383660859,3
v1.1,11,0,1.846340161,3
v1.1,12,0,1.295034755,3
v1.1,13,0,2.681301837,3
v1.1,14,0,4.53841681,3
v1.1,15,0,7.219582923,3
v1.1,16,0,14.60421195,3
v1.1,17,0,10.424397436,3
v1.1,18,0,23.976666408,3
v1.1,19,0,30.989970413,3
v1.1,20,0,33.322936125,3
v1.1,21,0,39.242465514,3
v1.1,22,0,96.419409174,3
v1.1,23,0,24.844116629,3
v1.1,24,0,120.567287245,3
v1.1,25,0,283.173613197,3
v1.1,4,0,0.00089617,3
v1.1,5,0,0.001963905,3
v1.1,6,0,0.005465702,3
v1.1,7,0,0.061498258,3
v1.1,8,0,0.13417276,3
v1.1,9,0,0.084619093,3
v1.1,10,0,0.54550255,3
v1.1,11,0,1.974277753,3
v1.1,12,0,1.147272526,3
v1.1,13,0,4.182930853,3
v1.1,14,0,6.667222964,3
v1.1,15,0,2.777742227,3
v1.1,16,0,20.635626227,3
v1.1,17,0,17.787555109,3
v1.1,18,0,25.622706794,3
v1.1,19,0,21.148977504,3
v1.1,20,0,38.031982595,3
v1.1,21,0,64.584142229,3
v1.1,22,0,75.767721376,3
v1.1,23,0,76.081381109,3
v1.1,24,0,24.994204544,3
v1.1,25,0,36.815288059,3
v1.1,4,0,0.000787887,3
v1.1,5,0,0.001636011,3
v1.1,6,0,0.006472067,3
v1.1,7,0,0.139420213,3
v1.1,8,0,0.095070055,3
v1.1,9,0,0.024316328,3
v1.1,10,0,0.335990313,3
