estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(10,9,(((6,5):2.5604053515999814,((3,((2,4):0.0)#H11:0.0::0.6158029765321584):2.5096319214567027,(1,#H11:0.01688244452926583::0.3841970234678416):5.7714828582252516e-5):0.627164413867091):0.5750204613594384,(7,8):3.0927352427985157):0.70331709664781);",300,16,0.0,1.0,1,569.323694362,6,2,0.2509522166666667,10,1,1,med,24
"(2,(3,(4)#H11:::0.6580212655679791):0.6059794168254587,((1,((5,6):1.8219946783466718,((7,8):2.8829105032368223,(9,10):0.6133851610601365):0.6211350630700436):0.4636673756964032):1.280963957973477e-7,#H11:::0.3419787344320209):0.9836756030625033);",300,8,0.0,1.0,1,482.370951935,4,0,0.27428553666666683,10,1,1,med,27
"(2,(3,(4)#H11:::0.6580212655679791):0.6059794168254587,((1,((5,6):1.8219946783466718,((7,8):2.8829105032368223,(9,10):0.6133851610601365):0.6211350630700436):0.4636673756964032):1.280963957973477e-7,#H11:::0.3419787344320209):0.9836756030625033);",300,16,0.0,1.0,1,491.490223524,4,0,0.27428553666666683,10,1,1,med,27
"(8,7,((10,9):0.6077899287588112,((6,5):1.8193586277292275,(((4,(3,(2)#H11:::0.8049638382010336):0.4625938695293125):1.0362119779439631,1):0.13956009206602782,#H11:::0.19503616179896646):0.5227472387663153):0.5914609328801251):3.1802606814296377);",300,16,0.0,1.0,1,791.651141002,4,2,0.25523791000000007,10,1,1,med,23
"(10,9,(((6,5):2.5604053515999814,((3,((2,4):0.0)#H11:0.0::0.6158029765321584):2.5096319214567027,(1,#H11:0.01688244452926583::0.3841970234678416):5.7714828582252516e-5):0.627164413867091):0.5750204613594384,(7,8):3.0927352427985157):0.70331709664781);",300,8,0.0,1.0,1,898.984104304,6,2,0.2509522166666667,10,1,1,med,24
"(9,(((((2,(3)#H11:::0.5168308716015562):0.5546033052212916,(4,#H11:::0.4831691283984439):0.5546033052212916):0.653080223439637,1):0.5840539397959172,(6,5):1.9595645924235892):0.5953029344975788,(7,8):3.070617451910868):0.547782878507122,10);",300,16,0.0,1.0,1,1046.051500095,0,2,0.26857124000000016,10,1,1,med,22
"(10,9,(((6,5):2.5604053515999814,((3,((2,4):0.0)#H11:0.0::0.6158029765321584):2.5096319214567027,(1,#H11:0.01688244452926583::0.3841970234678416):5.7714828582252516e-5):0.627164413867091):0.5750204613594384,(7,8):3.0927352427985157):0.70331709664781);",300,4,0.0,1.0,1,1143.748990846,6,2,0.2509522166666667,10,1,1,med,24
"(8,7,((10,9):0.6077899287588112,((6,5):1.8193586277292275,(((4,(3,(2)#H11:::0.8049638382010336):0.4625938695293125):1.0362119779439631,1):0.13956009206602782,#H11:::0.19503616179896646):0.5227472387663153):0.5914609328801251):3.1802606814296377);",300,4,0.0,1.0,1,1289.616758326,4,2,0.25523791000000007,10,1,1,med,23
"(9,(((((2,(3)#H11:::0.5168308716015562):0.5546033052212916,(4,#H11:::0.4831691283984439):0.5546033052212916):0.653080223439637,1):0.5840539397959172,(6,5):1.9595645924235892):0.5953029344975788,(7,8):3.070617451910868):0.547782878507122,10);",300,4,0.0,1.0,1,1455.097074788,0,2,0.26857124000000016,10,1,1,med,22
"(9,10,((7,8):2.947784743088509,((6,5):1.935357764908052,((4,(3,(2)#H13:::0.7356797469049421):0.32975577549844654):1.033177911232202,(1,#H13:::0.26432025309505797):0.09743539080696197):0.607326132663286):0.6123501962522437):0.6515028851951208);",300,8,0.0,1.0,1,963.996398906,4,2,0.2504760166666668,10,1,1,med,26
"(9,((7,8):3.2493333184192843,((6,5):2.128579046070251,(1,((4,(3)#H11:::0.46987428476976095):0.8291040660641678,(2,#H11:::0.530125715230239):0.8291040660641678):0.6819888063262906):0.6309591128413773):0.7205949996592396):0.4794849796342682,10);",300,16,0.0,1.0,1,623.125662997,0,2,0.23047600333333335,10,1,1,med,28
"(6,5,(((7,8):2.9238488713859585,(9,10):0.5020129102410886):0.6207681101006607,(((3,(4)#H11:::0.765732006950844):0.45976871767406013,2):0.9700638292066732,(1,#H11:::0.23426799304915602):0.13745318482999702):0.5691235056949455):1.8232466481057559);",300,8,0.0,1.0,1,976.232354337,4,0,0.24809506666666678,10,1,1,med,25
"(6,5,(((7,8):2.9238488713859585,(9,10):0.5020129102410886):0.6207681101006607,(((3,(4)#H11:::0.765732006950844):0.45976871767406013,2):0.9700638292066732,(1,#H11:::0.23426799304915602):0.13745318482999702):0.5691235056949455):1.8232466481057559);",300,16,0.0,1.0,1,922.504904327,4,0,0.24809506666666678,10,1,1,med,25
"(((4,3):0.18623819349627968,(2,#H11:::0.31027218078195273):0.0):1.2387435343835658,(((7,8):2.89493172277421,(9,10):0.7459765631474488):0.5020924695171108,(6,5):1.9281439311373612):0.2748207175030705,(1)#H11:::0.6897278192180473);",300,8,0.0,1.0,1,783.169636404,2,0,0.2676188733333335,10,1,1,med,29
